Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/kwai/DouZero,56,4499,6,189,doudizhu; game-ai; poker; reinforcement-learning,torch,TRAINING,4,26.67
https://github.com/kwai/DouZero,56,4499,6,189,doudizhu; game-ai; poker; reinforcement-learning,torch,HYPERPARAMETER,4,26.67
https://github.com/kwai/DouZero,56,4499,6,189,doudizhu; game-ai; poker; reinforcement-learning,torch,EVALUATION,4,26.67
https://github.com/kwai/DouZero,56,4499,6,189,doudizhu; game-ai; poker; reinforcement-learning,torch,CODESTYLE,3,20.0
