Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,95,1981,6,734187,autoencoder; deep-learning; gan; keras; reinforcement-learning; vae,gym,HYPERPARAMETER,15,71.43
https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,95,1981,6,734187,autoencoder; deep-learning; gan; keras; reinforcement-learning; vae,gym,EVALUATION,3,14.29
https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,95,1981,6,734187,autoencoder; deep-learning; gan; keras; reinforcement-learning; vae,gym,CODESTYLE,3,14.29
