Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/LucasAlegre/sumo-rl,86,988,11,43322,deep-reinforcement-learning; gym; gym-env; gymnasium; machine-learning; pettingzoo; python; reinforcement-learning; rl-algorithms; sumo; traffic-signal-control,gymnasium.utils; gymnasium.utils.env_checker; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env; stable_baselines3.dqn.dqn,HYPERPARAMETER,14,28.0
https://github.com/LucasAlegre/sumo-rl,86,988,11,43322,deep-reinforcement-learning; gym; gym-env; gymnasium; machine-learning; pettingzoo; python; reinforcement-learning; rl-algorithms; sumo; traffic-signal-control,gymnasium.utils; gymnasium.utils.env_checker; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env; stable_baselines3.dqn.dqn,TRAINING,12,24.0
https://github.com/LucasAlegre/sumo-rl,86,988,11,43322,deep-reinforcement-learning; gym; gym-env; gymnasium; machine-learning; pettingzoo; python; reinforcement-learning; rl-algorithms; sumo; traffic-signal-control,gymnasium.utils; gymnasium.utils.env_checker; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env; stable_baselines3.dqn.dqn,EVALUATION,12,24.0
https://github.com/LucasAlegre/sumo-rl,86,988,11,43322,deep-reinforcement-learning; gym; gym-env; gymnasium; machine-learning; pettingzoo; python; reinforcement-learning; rl-algorithms; sumo; traffic-signal-control,gymnasium.utils; gymnasium.utils.env_checker; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env; stable_baselines3.dqn.dqn,CODESTYLE,12,24.0
