Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/meta-pytorch/tnt,110,1720,108,9178,deep-learning; machine-learning; neural-network; python; pytorch; reinforcement-learning,torch; torchtnt.utils.device; torchtnt.utils.distributed; torchtnt.utils.env; torchtnt.utils.test_utils,TRAINING,1,25.0
https://github.com/meta-pytorch/tnt,110,1720,108,9178,deep-learning; machine-learning; neural-network; python; pytorch; reinforcement-learning,torch; torchtnt.utils.device; torchtnt.utils.distributed; torchtnt.utils.env; torchtnt.utils.test_utils,HYPERPARAMETER,1,25.0
https://github.com/meta-pytorch/tnt,110,1720,108,9178,deep-learning; machine-learning; neural-network; python; pytorch; reinforcement-learning,torch; torchtnt.utils.device; torchtnt.utils.distributed; torchtnt.utils.env; torchtnt.utils.test_utils,EVALUATION,1,25.0
https://github.com/meta-pytorch/tnt,110,1720,108,9178,deep-learning; machine-learning; neural-network; python; pytorch; reinforcement-learning,torch; torchtnt.utils.device; torchtnt.utils.distributed; torchtnt.utils.env; torchtnt.utils.test_utils,CODESTYLE,1,25.0
