Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/kengz/SLM-Lab,100,1334,17,23150,a2c; a3c; benchmark; deep-reinforcement-learning; dqn; policy-gradient; ppo; pytorch; reinforcement-learning; sac,gymnasium; gymnasium.vector; gymnasium.wrappers; gymnasium.wrappers.vector; torch,AGENT,8,27.59
https://github.com/kengz/SLM-Lab,100,1334,17,23150,a2c; a3c; benchmark; deep-reinforcement-learning; dqn; policy-gradient; ppo; pytorch; reinforcement-learning; sac,gymnasium; gymnasium.vector; gymnasium.wrappers; gymnasium.wrappers.vector; torch,HYPERPARAMETER,7,24.14
https://github.com/kengz/SLM-Lab,100,1334,17,23150,a2c; a3c; benchmark; deep-reinforcement-learning; dqn; policy-gradient; ppo; pytorch; reinforcement-learning; sac,gymnasium; gymnasium.vector; gymnasium.wrappers; gymnasium.wrappers.vector; torch,EVALUATION,6,20.69
https://github.com/kengz/SLM-Lab,100,1334,17,23150,a2c; a3c; benchmark; deep-reinforcement-learning; dqn; policy-gradient; ppo; pytorch; reinforcement-learning; sac,gymnasium; gymnasium.vector; gymnasium.wrappers; gymnasium.wrappers.vector; torch,TRAINING,5,17.24
https://github.com/kengz/SLM-Lab,100,1334,17,23150,a2c; a3c; benchmark; deep-reinforcement-learning; dqn; policy-gradient; ppo; pytorch; reinforcement-learning; sac,gymnasium; gymnasium.vector; gymnasium.wrappers; gymnasium.wrappers.vector; torch,CODESTYLE,3,10.34
