Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/nnaisense/evotorch,42,1119,5,52517,artificial-intelligence; distributed; evolutionary-algorithms; evolutionary-computation; gpu; neural-networks; neuroevolution; optimization; optimization-algorithms; python; pytorch; reinforcement-learning,evotorch.algorithms; evotorch.logging; evotorch.neuroevolution; evotorch.neuroevolution.net.rl; evotorch.tools; functorch; gym; gymnasium.envs.registration; gymnasium.spaces; torch; torch.func; torch.nn,HYPERPARAMETER,10,30.3
https://github.com/nnaisense/evotorch,42,1119,5,52517,artificial-intelligence; distributed; evolutionary-algorithms; evolutionary-computation; gpu; neural-networks; neuroevolution; optimization; optimization-algorithms; python; pytorch; reinforcement-learning,evotorch.algorithms; evotorch.logging; evotorch.neuroevolution; evotorch.neuroevolution.net.rl; evotorch.tools; functorch; gym; gymnasium.envs.registration; gymnasium.spaces; torch; torch.func; torch.nn,TRAINING,8,24.24
https://github.com/nnaisense/evotorch,42,1119,5,52517,artificial-intelligence; distributed; evolutionary-algorithms; evolutionary-computation; gpu; neural-networks; neuroevolution; optimization; optimization-algorithms; python; pytorch; reinforcement-learning,evotorch.algorithms; evotorch.logging; evotorch.neuroevolution; evotorch.neuroevolution.net.rl; evotorch.tools; functorch; gym; gymnasium.envs.registration; gymnasium.spaces; torch; torch.func; torch.nn,EVALUATION,8,24.24
https://github.com/nnaisense/evotorch,42,1119,5,52517,artificial-intelligence; distributed; evolutionary-algorithms; evolutionary-computation; gpu; neural-networks; neuroevolution; optimization; optimization-algorithms; python; pytorch; reinforcement-learning,evotorch.algorithms; evotorch.logging; evotorch.neuroevolution; evotorch.neuroevolution.net.rl; evotorch.tools; functorch; gym; gymnasium.envs.registration; gymnasium.spaces; torch; torch.func; torch.nn,CODESTYLE,7,21.21
