Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/Stanford-ILIAD/PantheonRL,55,157,5,9206,deep-reinforcement-learning; multiagent-reinforcement-learning; reinforcement-learning,gym; gym.envs.classic_control; overcookedgym.overcooked_utils; pantheonrl.envs.blockworldgym; pantheonrl.envs.blockworldgym.gridutils; pantheonrl.envs.liargym.liar; pantheonrl.envs.rpsgym.rps; stable_baselines3; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; torch,HYPERPARAMETER,12,26.09
https://github.com/Stanford-ILIAD/PantheonRL,55,157,5,9206,deep-reinforcement-learning; multiagent-reinforcement-learning; reinforcement-learning,gym; gym.envs.classic_control; overcookedgym.overcooked_utils; pantheonrl.envs.blockworldgym; pantheonrl.envs.blockworldgym.gridutils; pantheonrl.envs.liargym.liar; pantheonrl.envs.rpsgym.rps; stable_baselines3; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; torch,EVALUATION,12,26.09
https://github.com/Stanford-ILIAD/PantheonRL,55,157,5,9206,deep-reinforcement-learning; multiagent-reinforcement-learning; reinforcement-learning,gym; gym.envs.classic_control; overcookedgym.overcooked_utils; pantheonrl.envs.blockworldgym; pantheonrl.envs.blockworldgym.gridutils; pantheonrl.envs.liargym.liar; pantheonrl.envs.rpsgym.rps; stable_baselines3; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; torch,CODESTYLE,12,26.09
https://github.com/Stanford-ILIAD/PantheonRL,55,157,5,9206,deep-reinforcement-learning; multiagent-reinforcement-learning; reinforcement-learning,gym; gym.envs.classic_control; overcookedgym.overcooked_utils; pantheonrl.envs.blockworldgym; pantheonrl.envs.blockworldgym.gridutils; pantheonrl.envs.liargym.liar; pantheonrl.envs.rpsgym.rps; stable_baselines3; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; torch,TRAINING,10,21.74
