Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/ikostrikov/pytorch-a2c-ppo-acktr-gail,101,3876,26,6194,a2c; acktr; actor-critic; advantage-actor-critic; ale; atari; continuous-control; deep-learning; deep-reinforcement-learning; hessian; kfac; kronecker-factored-approximation; mujoco; natural-gradients; ppo; proximal-policy-optimization; pytorch; reinforcement-learning; roboschool; second-order,gym; gym.spaces.box; gym.wrappers.clip_action; stable_baselines3.common.atari_wrappers; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; stable_baselines3.common.vec_env.vec_normalize; torch,HYPERPARAMETER,4,26.67
https://github.com/ikostrikov/pytorch-a2c-ppo-acktr-gail,101,3876,26,6194,a2c; acktr; actor-critic; advantage-actor-critic; ale; atari; continuous-control; deep-learning; deep-reinforcement-learning; hessian; kfac; kronecker-factored-approximation; mujoco; natural-gradients; ppo; proximal-policy-optimization; pytorch; reinforcement-learning; roboschool; second-order,gym; gym.spaces.box; gym.wrappers.clip_action; stable_baselines3.common.atari_wrappers; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; stable_baselines3.common.vec_env.vec_normalize; torch,EVALUATION,4,26.67
https://github.com/ikostrikov/pytorch-a2c-ppo-acktr-gail,101,3876,26,6194,a2c; acktr; actor-critic; advantage-actor-critic; ale; atari; continuous-control; deep-learning; deep-reinforcement-learning; hessian; kfac; kronecker-factored-approximation; mujoco; natural-gradients; ppo; proximal-policy-optimization; pytorch; reinforcement-learning; roboschool; second-order,gym; gym.spaces.box; gym.wrappers.clip_action; stable_baselines3.common.atari_wrappers; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; stable_baselines3.common.vec_env.vec_normalize; torch,CODESTYLE,4,26.67
https://github.com/ikostrikov/pytorch-a2c-ppo-acktr-gail,101,3876,26,6194,a2c; acktr; actor-critic; advantage-actor-critic; ale; atari; continuous-control; deep-learning; deep-reinforcement-learning; hessian; kfac; kronecker-factored-approximation; mujoco; natural-gradients; ppo; proximal-policy-optimization; pytorch; reinforcement-learning; roboschool; second-order,gym; gym.spaces.box; gym.wrappers.clip_action; stable_baselines3.common.atari_wrappers; stable_baselines3.common.monitor; stable_baselines3.common.vec_env; stable_baselines3.common.vec_env.vec_normalize; torch,TRAINING,3,20.0
