Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/Lizhi-sjtu/DRL-code-pytorch,46,1441,1,3536,ddpg-pytorch; dqn-pytorch; ppo-gru; ppo-lstm; ppo-pytorch; pytorch; rainbow-dqn; reinforcement-learning; sac-pytorch; td3-pytorch,gym; torch; torch.distributions; torch.utils.tensorboard,HYPERPARAMETER,20,55.56
https://github.com/Lizhi-sjtu/DRL-code-pytorch,46,1441,1,3536,ddpg-pytorch; dqn-pytorch; ppo-gru; ppo-lstm; ppo-pytorch; pytorch; rainbow-dqn; reinforcement-learning; sac-pytorch; td3-pytorch,gym; torch; torch.distributions; torch.utils.tensorboard,EVALUATION,10,27.78
https://github.com/Lizhi-sjtu/DRL-code-pytorch,46,1441,1,3536,ddpg-pytorch; dqn-pytorch; ppo-gru; ppo-lstm; ppo-pytorch; pytorch; rainbow-dqn; reinforcement-learning; sac-pytorch; td3-pytorch,gym; torch; torch.distributions; torch.utils.tensorboard,CODESTYLE,6,16.67
