Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/opendilab/DI-engine,55,3592,52,307096,atari; distributed-reinforcement-learning; distributed-system; drl; exploration-exploitation; imitation-learning; impala; inverse-reinforcement-learning; minigrid; model-based-reinforcement-learning; mujoco; multiagent-reinforcement-learning; offline-rl; python; pytorch-rl; r2d2; reinforcement-learning; reinforcement-learning-algorithms; self-play; smac,ding.envs.env_manager.gym_vector_env_manager; ding.torch_utils; ding.torch_utils.data_helper; dizoo.dmc2gym.config.dmc2gym_ppo_config; dizoo.dmc2gym.config.dmc2gym_sac_pixel_config; dizoo.dmc2gym.config.dmc2gym_sac_state_config; dizoo.dmc2gym.envs; dizoo.dmc2gym.envs.dmc2gym_env; dizoo.evogym.config.walker_ppo_config; dizoo.evogym.envs; dizoo.evogym.envs.viewer; dizoo.gym_anytrading.envs; dizoo.gym_anytrading.envs.trading_env; dizoo.gym_hybrid.config.gym_hybrid_ddpg_config; dizoo.gym_hybrid.config.gym_hybrid_mpdqn_config; dizoo.gym_hybrid.config.gym_hybrid_pdqn_config; dizoo.gym_hybrid.envs; dizoo.gym_hybrid.envs.gym_hybrid_env; dizoo.gym_pybullet_drones.config.flythrugate_onppo_config; dizoo.gym_pybullet_drones.config.takeoffaviary_onppo_config; dizoo.gym_pybullet_drones.envs; dizoo.gym_pybullet_drones.envs.gym_pybullet_drones_env; dizoo.gym_soccer.envs.gym_soccer_env; evogym; evogym.sim; gym; gym.envs.classic_control; gym.envs.mujoco; gym.envs.mujoco.ant; gym.envs.mujoco.humanoid; gym.envs.registration; gym.spaces; gym.spaces.box; gym.utils; gym.vector.async_vector_env; gym.wrappers; gym_pybullet_drones.envs.single_agent_rl.BaseSingleAgentAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; torch; torch.optim.lr_scheduler; torch.utils.data; torch.utils.data.distributed,HYPERPARAMETER,322,27.2
https://github.com/opendilab/DI-engine,55,3592,52,307096,atari; distributed-reinforcement-learning; distributed-system; drl; exploration-exploitation; imitation-learning; impala; inverse-reinforcement-learning; minigrid; model-based-reinforcement-learning; mujoco; multiagent-reinforcement-learning; offline-rl; python; pytorch-rl; r2d2; reinforcement-learning; reinforcement-learning-algorithms; self-play; smac,ding.envs.env_manager.gym_vector_env_manager; ding.torch_utils; ding.torch_utils.data_helper; dizoo.dmc2gym.config.dmc2gym_ppo_config; dizoo.dmc2gym.config.dmc2gym_sac_pixel_config; dizoo.dmc2gym.config.dmc2gym_sac_state_config; dizoo.dmc2gym.envs; dizoo.dmc2gym.envs.dmc2gym_env; dizoo.evogym.config.walker_ppo_config; dizoo.evogym.envs; dizoo.evogym.envs.viewer; dizoo.gym_anytrading.envs; dizoo.gym_anytrading.envs.trading_env; dizoo.gym_hybrid.config.gym_hybrid_ddpg_config; dizoo.gym_hybrid.config.gym_hybrid_mpdqn_config; dizoo.gym_hybrid.config.gym_hybrid_pdqn_config; dizoo.gym_hybrid.envs; dizoo.gym_hybrid.envs.gym_hybrid_env; dizoo.gym_pybullet_drones.config.flythrugate_onppo_config; dizoo.gym_pybullet_drones.config.takeoffaviary_onppo_config; dizoo.gym_pybullet_drones.envs; dizoo.gym_pybullet_drones.envs.gym_pybullet_drones_env; dizoo.gym_soccer.envs.gym_soccer_env; evogym; evogym.sim; gym; gym.envs.classic_control; gym.envs.mujoco; gym.envs.mujoco.ant; gym.envs.mujoco.humanoid; gym.envs.registration; gym.spaces; gym.spaces.box; gym.utils; gym.vector.async_vector_env; gym.wrappers; gym_pybullet_drones.envs.single_agent_rl.BaseSingleAgentAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; torch; torch.optim.lr_scheduler; torch.utils.data; torch.utils.data.distributed,EVALUATION,289,24.41
https://github.com/opendilab/DI-engine,55,3592,52,307096,atari; distributed-reinforcement-learning; distributed-system; drl; exploration-exploitation; imitation-learning; impala; inverse-reinforcement-learning; minigrid; model-based-reinforcement-learning; mujoco; multiagent-reinforcement-learning; offline-rl; python; pytorch-rl; r2d2; reinforcement-learning; reinforcement-learning-algorithms; self-play; smac,ding.envs.env_manager.gym_vector_env_manager; ding.torch_utils; ding.torch_utils.data_helper; dizoo.dmc2gym.config.dmc2gym_ppo_config; dizoo.dmc2gym.config.dmc2gym_sac_pixel_config; dizoo.dmc2gym.config.dmc2gym_sac_state_config; dizoo.dmc2gym.envs; dizoo.dmc2gym.envs.dmc2gym_env; dizoo.evogym.config.walker_ppo_config; dizoo.evogym.envs; dizoo.evogym.envs.viewer; dizoo.gym_anytrading.envs; dizoo.gym_anytrading.envs.trading_env; dizoo.gym_hybrid.config.gym_hybrid_ddpg_config; dizoo.gym_hybrid.config.gym_hybrid_mpdqn_config; dizoo.gym_hybrid.config.gym_hybrid_pdqn_config; dizoo.gym_hybrid.envs; dizoo.gym_hybrid.envs.gym_hybrid_env; dizoo.gym_pybullet_drones.config.flythrugate_onppo_config; dizoo.gym_pybullet_drones.config.takeoffaviary_onppo_config; dizoo.gym_pybullet_drones.envs; dizoo.gym_pybullet_drones.envs.gym_pybullet_drones_env; dizoo.gym_soccer.envs.gym_soccer_env; evogym; evogym.sim; gym; gym.envs.classic_control; gym.envs.mujoco; gym.envs.mujoco.ant; gym.envs.mujoco.humanoid; gym.envs.registration; gym.spaces; gym.spaces.box; gym.utils; gym.vector.async_vector_env; gym.wrappers; gym_pybullet_drones.envs.single_agent_rl.BaseSingleAgentAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; torch; torch.optim.lr_scheduler; torch.utils.data; torch.utils.data.distributed,TRAINING,283,23.9
https://github.com/opendilab/DI-engine,55,3592,52,307096,atari; distributed-reinforcement-learning; distributed-system; drl; exploration-exploitation; imitation-learning; impala; inverse-reinforcement-learning; minigrid; model-based-reinforcement-learning; mujoco; multiagent-reinforcement-learning; offline-rl; python; pytorch-rl; r2d2; reinforcement-learning; reinforcement-learning-algorithms; self-play; smac,ding.envs.env_manager.gym_vector_env_manager; ding.torch_utils; ding.torch_utils.data_helper; dizoo.dmc2gym.config.dmc2gym_ppo_config; dizoo.dmc2gym.config.dmc2gym_sac_pixel_config; dizoo.dmc2gym.config.dmc2gym_sac_state_config; dizoo.dmc2gym.envs; dizoo.dmc2gym.envs.dmc2gym_env; dizoo.evogym.config.walker_ppo_config; dizoo.evogym.envs; dizoo.evogym.envs.viewer; dizoo.gym_anytrading.envs; dizoo.gym_anytrading.envs.trading_env; dizoo.gym_hybrid.config.gym_hybrid_ddpg_config; dizoo.gym_hybrid.config.gym_hybrid_mpdqn_config; dizoo.gym_hybrid.config.gym_hybrid_pdqn_config; dizoo.gym_hybrid.envs; dizoo.gym_hybrid.envs.gym_hybrid_env; dizoo.gym_pybullet_drones.config.flythrugate_onppo_config; dizoo.gym_pybullet_drones.config.takeoffaviary_onppo_config; dizoo.gym_pybullet_drones.envs; dizoo.gym_pybullet_drones.envs.gym_pybullet_drones_env; dizoo.gym_soccer.envs.gym_soccer_env; evogym; evogym.sim; gym; gym.envs.classic_control; gym.envs.mujoco; gym.envs.mujoco.ant; gym.envs.mujoco.humanoid; gym.envs.registration; gym.spaces; gym.spaces.box; gym.utils; gym.vector.async_vector_env; gym.wrappers; gym_pybullet_drones.envs.single_agent_rl.BaseSingleAgentAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; torch; torch.optim.lr_scheduler; torch.utils.data; torch.utils.data.distributed,CODESTYLE,232,19.59
https://github.com/opendilab/DI-engine,55,3592,52,307096,atari; distributed-reinforcement-learning; distributed-system; drl; exploration-exploitation; imitation-learning; impala; inverse-reinforcement-learning; minigrid; model-based-reinforcement-learning; mujoco; multiagent-reinforcement-learning; offline-rl; python; pytorch-rl; r2d2; reinforcement-learning; reinforcement-learning-algorithms; self-play; smac,ding.envs.env_manager.gym_vector_env_manager; ding.torch_utils; ding.torch_utils.data_helper; dizoo.dmc2gym.config.dmc2gym_ppo_config; dizoo.dmc2gym.config.dmc2gym_sac_pixel_config; dizoo.dmc2gym.config.dmc2gym_sac_state_config; dizoo.dmc2gym.envs; dizoo.dmc2gym.envs.dmc2gym_env; dizoo.evogym.config.walker_ppo_config; dizoo.evogym.envs; dizoo.evogym.envs.viewer; dizoo.gym_anytrading.envs; dizoo.gym_anytrading.envs.trading_env; dizoo.gym_hybrid.config.gym_hybrid_ddpg_config; dizoo.gym_hybrid.config.gym_hybrid_mpdqn_config; dizoo.gym_hybrid.config.gym_hybrid_pdqn_config; dizoo.gym_hybrid.envs; dizoo.gym_hybrid.envs.gym_hybrid_env; dizoo.gym_pybullet_drones.config.flythrugate_onppo_config; dizoo.gym_pybullet_drones.config.takeoffaviary_onppo_config; dizoo.gym_pybullet_drones.envs; dizoo.gym_pybullet_drones.envs.gym_pybullet_drones_env; dizoo.gym_soccer.envs.gym_soccer_env; evogym; evogym.sim; gym; gym.envs.classic_control; gym.envs.mujoco; gym.envs.mujoco.ant; gym.envs.mujoco.humanoid; gym.envs.registration; gym.spaces; gym.spaces.box; gym.utils; gym.vector.async_vector_env; gym.wrappers; gym_pybullet_drones.envs.single_agent_rl.BaseSingleAgentAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; torch; torch.optim.lr_scheduler; torch.utils.data; torch.utils.data.distributed,AGENT,58,4.9
