Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/instadeepai/og-marl,39,203,8,60418,multi-agent-reinforcement-learning; offline-reinforcement-learning; reinforcement-learning,gym; gym.spaces; gym.wrappers; gymnasium; gymnasium.spaces; gymnasium.spaces.utils; gymnasium.vector.utils; og_marl.baselines.jax_systems.wrappers.gym; og_marl.baselines.torch_systems.networks; og_marl.baselines.torch_systems.utils; torch,TRAINING,32,27.12
https://github.com/instadeepai/og-marl,39,203,8,60418,multi-agent-reinforcement-learning; offline-reinforcement-learning; reinforcement-learning,gym; gym.spaces; gym.wrappers; gymnasium; gymnasium.spaces; gymnasium.spaces.utils; gymnasium.vector.utils; og_marl.baselines.jax_systems.wrappers.gym; og_marl.baselines.torch_systems.networks; og_marl.baselines.torch_systems.utils; torch,HYPERPARAMETER,32,27.12
https://github.com/instadeepai/og-marl,39,203,8,60418,multi-agent-reinforcement-learning; offline-reinforcement-learning; reinforcement-learning,gym; gym.spaces; gym.wrappers; gymnasium; gymnasium.spaces; gymnasium.spaces.utils; gymnasium.vector.utils; og_marl.baselines.jax_systems.wrappers.gym; og_marl.baselines.torch_systems.networks; og_marl.baselines.torch_systems.utils; torch,EVALUATION,32,27.12
https://github.com/instadeepai/og-marl,39,203,8,60418,multi-agent-reinforcement-learning; offline-reinforcement-learning; reinforcement-learning,gym; gym.spaces; gym.wrappers; gymnasium; gymnasium.spaces; gymnasium.spaces.utils; gymnasium.vector.utils; og_marl.baselines.jax_systems.wrappers.gym; og_marl.baselines.torch_systems.networks; og_marl.baselines.torch_systems.utils; torch,CODESTYLE,22,18.64
