Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/agi-brain/xuance,32,1036,23,492234,a2c; atari; ddpg; dqn; google-research-football; maddpg; magent; mappo; mindspore; mpe; mujoco; multi-agent-reinforcement-learning; ppo; pytorch; qmix; reinforcement-learning; reinforcement-learning-library; starcraft2; tensorflow2,gym; gym.spaces; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.enums; gymnasium; gymnasium.spaces; gymnasium.spaces.box; torch; torch.nn; torch.nn.functional; torch.utils.tensorboard; xuance.environment.single_agent_env.gym; xuance.torch; xuance.torch.agents; xuance.torch.agents.base; xuance.torch.agents.contrastive_unsupervised_rl; xuance.torch.agents.multi_agent_rl.commnet_agents; xuance.torch.agents.multi_agent_rl.ippo_agents; xuance.torch.agents.multi_agent_rl.maddpg_agents; xuance.torch.agents.multi_agent_rl.mappo_agents; xuance.torch.communications; xuance.torch.communications.comm_net; xuance.torch.learners; xuance.torch.learners.multi_agent_rl.maddpg_learner; xuance.torch.policies; xuance.torch.representations.world_model; xuance.torch.representations.world_model_v2; xuance.torch.runners; xuance.torch.utils; xuance.torch.utils.distributions; xuance.torch.utils.operations,HYPERPARAMETER,183,26.07
https://github.com/agi-brain/xuance,32,1036,23,492234,a2c; atari; ddpg; dqn; google-research-football; maddpg; magent; mappo; mindspore; mpe; mujoco; multi-agent-reinforcement-learning; ppo; pytorch; qmix; reinforcement-learning; reinforcement-learning-library; starcraft2; tensorflow2,gym; gym.spaces; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.enums; gymnasium; gymnasium.spaces; gymnasium.spaces.box; torch; torch.nn; torch.nn.functional; torch.utils.tensorboard; xuance.environment.single_agent_env.gym; xuance.torch; xuance.torch.agents; xuance.torch.agents.base; xuance.torch.agents.contrastive_unsupervised_rl; xuance.torch.agents.multi_agent_rl.commnet_agents; xuance.torch.agents.multi_agent_rl.ippo_agents; xuance.torch.agents.multi_agent_rl.maddpg_agents; xuance.torch.agents.multi_agent_rl.mappo_agents; xuance.torch.communications; xuance.torch.communications.comm_net; xuance.torch.learners; xuance.torch.learners.multi_agent_rl.maddpg_learner; xuance.torch.policies; xuance.torch.representations.world_model; xuance.torch.representations.world_model_v2; xuance.torch.runners; xuance.torch.utils; xuance.torch.utils.distributions; xuance.torch.utils.operations,TRAINING,172,24.5
https://github.com/agi-brain/xuance,32,1036,23,492234,a2c; atari; ddpg; dqn; google-research-football; maddpg; magent; mappo; mindspore; mpe; mujoco; multi-agent-reinforcement-learning; ppo; pytorch; qmix; reinforcement-learning; reinforcement-learning-library; starcraft2; tensorflow2,gym; gym.spaces; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.enums; gymnasium; gymnasium.spaces; gymnasium.spaces.box; torch; torch.nn; torch.nn.functional; torch.utils.tensorboard; xuance.environment.single_agent_env.gym; xuance.torch; xuance.torch.agents; xuance.torch.agents.base; xuance.torch.agents.contrastive_unsupervised_rl; xuance.torch.agents.multi_agent_rl.commnet_agents; xuance.torch.agents.multi_agent_rl.ippo_agents; xuance.torch.agents.multi_agent_rl.maddpg_agents; xuance.torch.agents.multi_agent_rl.mappo_agents; xuance.torch.communications; xuance.torch.communications.comm_net; xuance.torch.learners; xuance.torch.learners.multi_agent_rl.maddpg_learner; xuance.torch.policies; xuance.torch.representations.world_model; xuance.torch.representations.world_model_v2; xuance.torch.runners; xuance.torch.utils; xuance.torch.utils.distributions; xuance.torch.utils.operations,EVALUATION,172,24.5
https://github.com/agi-brain/xuance,32,1036,23,492234,a2c; atari; ddpg; dqn; google-research-football; maddpg; magent; mappo; mindspore; mpe; mujoco; multi-agent-reinforcement-learning; ppo; pytorch; qmix; reinforcement-learning; reinforcement-learning-library; starcraft2; tensorflow2,gym; gym.spaces; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.enums; gymnasium; gymnasium.spaces; gymnasium.spaces.box; torch; torch.nn; torch.nn.functional; torch.utils.tensorboard; xuance.environment.single_agent_env.gym; xuance.torch; xuance.torch.agents; xuance.torch.agents.base; xuance.torch.agents.contrastive_unsupervised_rl; xuance.torch.agents.multi_agent_rl.commnet_agents; xuance.torch.agents.multi_agent_rl.ippo_agents; xuance.torch.agents.multi_agent_rl.maddpg_agents; xuance.torch.agents.multi_agent_rl.mappo_agents; xuance.torch.communications; xuance.torch.communications.comm_net; xuance.torch.learners; xuance.torch.learners.multi_agent_rl.maddpg_learner; xuance.torch.policies; xuance.torch.representations.world_model; xuance.torch.representations.world_model_v2; xuance.torch.runners; xuance.torch.utils; xuance.torch.utils.distributions; xuance.torch.utils.operations,CODESTYLE,169,24.07
https://github.com/agi-brain/xuance,32,1036,23,492234,a2c; atari; ddpg; dqn; google-research-football; maddpg; magent; mappo; mindspore; mpe; mujoco; multi-agent-reinforcement-learning; ppo; pytorch; qmix; reinforcement-learning; reinforcement-learning-library; starcraft2; tensorflow2,gym; gym.spaces; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.enums; gymnasium; gymnasium.spaces; gymnasium.spaces.box; torch; torch.nn; torch.nn.functional; torch.utils.tensorboard; xuance.environment.single_agent_env.gym; xuance.torch; xuance.torch.agents; xuance.torch.agents.base; xuance.torch.agents.contrastive_unsupervised_rl; xuance.torch.agents.multi_agent_rl.commnet_agents; xuance.torch.agents.multi_agent_rl.ippo_agents; xuance.torch.agents.multi_agent_rl.maddpg_agents; xuance.torch.agents.multi_agent_rl.mappo_agents; xuance.torch.communications; xuance.torch.communications.comm_net; xuance.torch.learners; xuance.torch.learners.multi_agent_rl.maddpg_learner; xuance.torch.policies; xuance.torch.representations.world_model; xuance.torch.representations.world_model_v2; xuance.torch.runners; xuance.torch.utils; xuance.torch.utils.distributions; xuance.torch.utils.operations,AGENT,6,0.85
