Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/utiasDSL/gym-pybullet-drones,66,1844,18,121648,betaflight; control; crazyflie; gym; gymnasium; multi-agent; pybullet; quadcopter; quadrotor; reinforcement-learning; robotics; sitl; stable-baselines3; uav,gym_pybullet_drones.control.CTBRControl; gym_pybullet_drones.control.DSLPIDControl; gym_pybullet_drones.control.MRAC; gym_pybullet_drones.envs.BetaAviary; gym_pybullet_drones.envs.CFAviary; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; gym_pybullet_drones.utils.utils; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.env_util; stable_baselines3.common.evaluation; torch,HYPERPARAMETER,8,47.06
https://github.com/utiasDSL/gym-pybullet-drones,66,1844,18,121648,betaflight; control; crazyflie; gym; gymnasium; multi-agent; pybullet; quadcopter; quadrotor; reinforcement-learning; robotics; sitl; stable-baselines3; uav,gym_pybullet_drones.control.CTBRControl; gym_pybullet_drones.control.DSLPIDControl; gym_pybullet_drones.control.MRAC; gym_pybullet_drones.envs.BetaAviary; gym_pybullet_drones.envs.CFAviary; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; gym_pybullet_drones.utils.utils; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.env_util; stable_baselines3.common.evaluation; torch,EVALUATION,7,41.18
https://github.com/utiasDSL/gym-pybullet-drones,66,1844,18,121648,betaflight; control; crazyflie; gym; gymnasium; multi-agent; pybullet; quadcopter; quadrotor; reinforcement-learning; robotics; sitl; stable-baselines3; uav,gym_pybullet_drones.control.CTBRControl; gym_pybullet_drones.control.DSLPIDControl; gym_pybullet_drones.control.MRAC; gym_pybullet_drones.envs.BetaAviary; gym_pybullet_drones.envs.CFAviary; gym_pybullet_drones.envs.CtrlAviary; gym_pybullet_drones.envs.HoverAviary; gym_pybullet_drones.envs.MultiHoverAviary; gym_pybullet_drones.envs.VelocityAviary; gym_pybullet_drones.utils.Logger; gym_pybullet_drones.utils.enums; gym_pybullet_drones.utils.utils; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.env_util; stable_baselines3.common.evaluation; torch,TRAINING,2,11.76
