Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/microsoft/maro,73,908,22,115083,agent; citi-bike; docker; finance; inventory-management; logistics; maro; multi-agent; multi-agent-reinforcement-learning; operations-research; raas; reinforcement-learning; resource-optimization; rl-algorithms; simulator; transportation,gym; tests.rl.gym_wrapper.simulator.business_engine; tests.rl.gym_wrapper.simulator.common; torch,TRAINING,19,25.68
https://github.com/microsoft/maro,73,908,22,115083,agent; citi-bike; docker; finance; inventory-management; logistics; maro; multi-agent; multi-agent-reinforcement-learning; operations-research; raas; reinforcement-learning; resource-optimization; rl-algorithms; simulator; transportation,gym; tests.rl.gym_wrapper.simulator.business_engine; tests.rl.gym_wrapper.simulator.common; torch,HYPERPARAMETER,19,25.68
https://github.com/microsoft/maro,73,908,22,115083,agent; citi-bike; docker; finance; inventory-management; logistics; maro; multi-agent; multi-agent-reinforcement-learning; operations-research; raas; reinforcement-learning; resource-optimization; rl-algorithms; simulator; transportation,gym; tests.rl.gym_wrapper.simulator.business_engine; tests.rl.gym_wrapper.simulator.common; torch,EVALUATION,19,25.68
https://github.com/microsoft/maro,73,908,22,115083,agent; citi-bike; docker; finance; inventory-management; logistics; maro; multi-agent; multi-agent-reinforcement-learning; operations-research; raas; reinforcement-learning; resource-optimization; rl-algorithms; simulator; transportation,gym; tests.rl.gym_wrapper.simulator.business_engine; tests.rl.gym_wrapper.simulator.common; torch,CODESTYLE,17,22.97
