Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/AI4Finance-Foundation/ElegantRL,79,4290,40,118181,a2c; bipedalwalkerhardcore; ddpg; dqn; drl-pytorch; efficient; gae; lightweight; model-free-rl; multiple-gpu; per; ppo; pytorch; reinforcement-learning; sac; stable; td3,functorch; gym; gymnasium; gymnasium.utils; lightning.pytorch.callbacks; stable_baselines3.common.vec_env; torch; torch.distributions.categorical; torch.utils.data; torch.utils.tensorboard; torchrl.data; torchrl.envs,HYPERPARAMETER,91,45.5
https://github.com/AI4Finance-Foundation/ElegantRL,79,4290,40,118181,a2c; bipedalwalkerhardcore; ddpg; dqn; drl-pytorch; efficient; gae; lightweight; model-free-rl; multiple-gpu; per; ppo; pytorch; reinforcement-learning; sac; stable; td3,functorch; gym; gymnasium; gymnasium.utils; lightning.pytorch.callbacks; stable_baselines3.common.vec_env; torch; torch.distributions.categorical; torch.utils.data; torch.utils.tensorboard; torchrl.data; torchrl.envs,EVALUATION,41,20.5
https://github.com/AI4Finance-Foundation/ElegantRL,79,4290,40,118181,a2c; bipedalwalkerhardcore; ddpg; dqn; drl-pytorch; efficient; gae; lightweight; model-free-rl; multiple-gpu; per; ppo; pytorch; reinforcement-learning; sac; stable; td3,functorch; gym; gymnasium; gymnasium.utils; lightning.pytorch.callbacks; stable_baselines3.common.vec_env; torch; torch.distributions.categorical; torch.utils.data; torch.utils.tensorboard; torchrl.data; torchrl.envs,CODESTYLE,38,19.0
https://github.com/AI4Finance-Foundation/ElegantRL,79,4290,40,118181,a2c; bipedalwalkerhardcore; ddpg; dqn; drl-pytorch; efficient; gae; lightweight; model-free-rl; multiple-gpu; per; ppo; pytorch; reinforcement-learning; sac; stable; td3,functorch; gym; gymnasium; gymnasium.utils; lightning.pytorch.callbacks; stable_baselines3.common.vec_env; torch; torch.distributions.categorical; torch.utils.data; torch.utils.tensorboard; torchrl.data; torchrl.envs,TRAINING,30,15.0
