Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/XinJingHao/DRL-Pytorch,51,3277,1,59708,asl; c51; categorical-dqn; ddpg; deep-reinforcement-learning; double-dqn; dueling-dqn; machine-learning; noisynet-dqn; ppo; prioritized-experience-replay; pytorch; q-learning; reinforcement-learning; sac; td3,gym; gymnasium.wrappers; torch; torch.utils.tensorboard,HYPERPARAMETER,15,32.61
https://github.com/XinJingHao/DRL-Pytorch,51,3277,1,59708,asl; c51; categorical-dqn; ddpg; deep-reinforcement-learning; double-dqn; dueling-dqn; machine-learning; noisynet-dqn; ppo; prioritized-experience-replay; pytorch; q-learning; reinforcement-learning; sac; td3,gym; gymnasium.wrappers; torch; torch.utils.tensorboard,EVALUATION,15,32.61
https://github.com/XinJingHao/DRL-Pytorch,51,3277,1,59708,asl; c51; categorical-dqn; ddpg; deep-reinforcement-learning; double-dqn; dueling-dqn; machine-learning; noisynet-dqn; ppo; prioritized-experience-replay; pytorch; q-learning; reinforcement-learning; sac; td3,gym; gymnasium.wrappers; torch; torch.utils.tensorboard,CODESTYLE,15,32.61
https://github.com/XinJingHao/DRL-Pytorch,51,3277,1,59708,asl; c51; categorical-dqn; ddpg; deep-reinforcement-learning; double-dqn; dueling-dqn; machine-learning; noisynet-dqn; ppo; prioritized-experience-replay; pytorch; q-learning; reinforcement-learning; sac; td3,gym; gymnasium.wrappers; torch; torch.utils.tensorboard,TRAINING,1,2.17
