Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/datamllab/rlcard,80,3394,34,8621,ai; blackjack; card-game; card-games; deep-reinforcement-learning; doudizhu; game; game-ai; game-bot; gym-environment; mahjong; multi-agent; openai-gym; poker; poker-game; reinforcement-learning; texas; uno,N/A,TRAINING,9,25.0
https://github.com/datamllab/rlcard,80,3394,34,8621,ai; blackjack; card-game; card-games; deep-reinforcement-learning; doudizhu; game; game-ai; game-bot; gym-environment; mahjong; multi-agent; openai-gym; poker; poker-game; reinforcement-learning; texas; uno,N/A,HYPERPARAMETER,9,25.0
https://github.com/datamllab/rlcard,80,3394,34,8621,ai; blackjack; card-game; card-games; deep-reinforcement-learning; doudizhu; game; game-ai; game-bot; gym-environment; mahjong; multi-agent; openai-gym; poker; poker-game; reinforcement-learning; texas; uno,N/A,EVALUATION,9,25.0
https://github.com/datamllab/rlcard,80,3394,34,8621,ai; blackjack; card-game; card-games; deep-reinforcement-learning; doudizhu; game; game-ai; game-bot; gym-environment; mahjong; multi-agent; openai-gym; poker; poker-game; reinforcement-learning; texas; uno,N/A,CODESTYLE,9,25.0
