Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/huawei-noah/SMARTS,64,1109,16,298291,autonomous-driving; python; reinforcement-learning; simulator,gymnasium; gymnasium.core; gymnasium.envs.registration; gymnasium.wrappers.record_video; ray.rllib.env.multi_agent_env; smarts.env.gymnasium.hiway_env_v1; smarts.env.gymnasium.wrappers.episode_logger; smarts.env.gymnasium.wrappers.limit_relative_target_pose; smarts.env.gymnasium.wrappers.metric.costs; smarts.env.gymnasium.wrappers.metric.formula; smarts.env.gymnasium.wrappers.metric.metrics; smarts.env.gymnasium.wrappers.metric.params; smarts.env.gymnasium.wrappers.metric.types; smarts.env.gymnasium.wrappers.metric.utils; smarts.env.gymnasium.wrappers.parallel_env; smarts.env.gymnasium.wrappers.single_agent; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.monitor; torch; torchinfo,TRAINING,45,27.78
https://github.com/huawei-noah/SMARTS,64,1109,16,298291,autonomous-driving; python; reinforcement-learning; simulator,gymnasium; gymnasium.core; gymnasium.envs.registration; gymnasium.wrappers.record_video; ray.rllib.env.multi_agent_env; smarts.env.gymnasium.hiway_env_v1; smarts.env.gymnasium.wrappers.episode_logger; smarts.env.gymnasium.wrappers.limit_relative_target_pose; smarts.env.gymnasium.wrappers.metric.costs; smarts.env.gymnasium.wrappers.metric.formula; smarts.env.gymnasium.wrappers.metric.metrics; smarts.env.gymnasium.wrappers.metric.params; smarts.env.gymnasium.wrappers.metric.types; smarts.env.gymnasium.wrappers.metric.utils; smarts.env.gymnasium.wrappers.parallel_env; smarts.env.gymnasium.wrappers.single_agent; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.monitor; torch; torchinfo,HYPERPARAMETER,42,25.93
https://github.com/huawei-noah/SMARTS,64,1109,16,298291,autonomous-driving; python; reinforcement-learning; simulator,gymnasium; gymnasium.core; gymnasium.envs.registration; gymnasium.wrappers.record_video; ray.rllib.env.multi_agent_env; smarts.env.gymnasium.hiway_env_v1; smarts.env.gymnasium.wrappers.episode_logger; smarts.env.gymnasium.wrappers.limit_relative_target_pose; smarts.env.gymnasium.wrappers.metric.costs; smarts.env.gymnasium.wrappers.metric.formula; smarts.env.gymnasium.wrappers.metric.metrics; smarts.env.gymnasium.wrappers.metric.params; smarts.env.gymnasium.wrappers.metric.types; smarts.env.gymnasium.wrappers.metric.utils; smarts.env.gymnasium.wrappers.parallel_env; smarts.env.gymnasium.wrappers.single_agent; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.monitor; torch; torchinfo,EVALUATION,38,23.46
https://github.com/huawei-noah/SMARTS,64,1109,16,298291,autonomous-driving; python; reinforcement-learning; simulator,gymnasium; gymnasium.core; gymnasium.envs.registration; gymnasium.wrappers.record_video; ray.rllib.env.multi_agent_env; smarts.env.gymnasium.hiway_env_v1; smarts.env.gymnasium.wrappers.episode_logger; smarts.env.gymnasium.wrappers.limit_relative_target_pose; smarts.env.gymnasium.wrappers.metric.costs; smarts.env.gymnasium.wrappers.metric.formula; smarts.env.gymnasium.wrappers.metric.metrics; smarts.env.gymnasium.wrappers.metric.params; smarts.env.gymnasium.wrappers.metric.types; smarts.env.gymnasium.wrappers.metric.utils; smarts.env.gymnasium.wrappers.parallel_env; smarts.env.gymnasium.wrappers.single_agent; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.monitor; torch; torchinfo,CODESTYLE,34,20.99
https://github.com/huawei-noah/SMARTS,64,1109,16,298291,autonomous-driving; python; reinforcement-learning; simulator,gymnasium; gymnasium.core; gymnasium.envs.registration; gymnasium.wrappers.record_video; ray.rllib.env.multi_agent_env; smarts.env.gymnasium.hiway_env_v1; smarts.env.gymnasium.wrappers.episode_logger; smarts.env.gymnasium.wrappers.limit_relative_target_pose; smarts.env.gymnasium.wrappers.metric.costs; smarts.env.gymnasium.wrappers.metric.formula; smarts.env.gymnasium.wrappers.metric.metrics; smarts.env.gymnasium.wrappers.metric.params; smarts.env.gymnasium.wrappers.metric.types; smarts.env.gymnasium.wrappers.metric.utils; smarts.env.gymnasium.wrappers.parallel_env; smarts.env.gymnasium.wrappers.single_agent; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.monitor; torch; torchinfo,AGENT,3,1.85
