Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/ShangtongZhang/DeepRL,105,3405,3,10866,a2c; categorical-dqn; ddpg; deep-reinforcement-learning; deeprl; double-dqn; dqn; dueling-network-architecture; option-critic; option-critic-architecture; ppo; prioritized-experience-replay; pytorch; quantile-regression; rainbow; td3,gym; gym.spaces.box; gym.spaces.discrete; torch,TRAINING,1,25.0
https://github.com/ShangtongZhang/DeepRL,105,3405,3,10866,a2c; categorical-dqn; ddpg; deep-reinforcement-learning; deeprl; double-dqn; dqn; dueling-network-architecture; option-critic; option-critic-architecture; ppo; prioritized-experience-replay; pytorch; quantile-regression; rainbow; td3,gym; gym.spaces.box; gym.spaces.discrete; torch,HYPERPARAMETER,1,25.0
https://github.com/ShangtongZhang/DeepRL,105,3405,3,10866,a2c; categorical-dqn; ddpg; deep-reinforcement-learning; deeprl; double-dqn; dqn; dueling-network-architecture; option-critic; option-critic-architecture; ppo; prioritized-experience-replay; pytorch; quantile-regression; rainbow; td3,gym; gym.spaces.box; gym.spaces.discrete; torch,EVALUATION,1,25.0
https://github.com/ShangtongZhang/DeepRL,105,3405,3,10866,a2c; categorical-dqn; ddpg; deep-reinforcement-learning; deeprl; double-dqn; dqn; dueling-network-architecture; option-critic; option-critic-architecture; ppo; prioritized-experience-replay; pytorch; quantile-regression; rainbow; td3,gym; gym.spaces.box; gym.spaces.discrete; torch,CODESTYLE,1,25.0
