Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/praveen-palanisamy/macad-gym,88,375,3,2115,autonomous-driving; carla; carla-driving-simulator; carla-gym; carla-reinforcement-learning; carla-rl; carla-simulator; deep-reinforcement-learning; gym-environments; macad-gym; multi-agent-autonomous-driving; multi-agent-reinforcement-learning,gym; gym.spaces; macad_gym; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner_dao; macad_gym.carla.PythonAPI.agents.navigation.local_planner; macad_gym.carla.multi_env; macad_gym.carla.reward; macad_gym.carla.scenarios; macad_gym.core.controllers; macad_gym.core.controllers.keyboard_control; macad_gym.core.controllers.traffic; macad_gym.core.maps.nav_utils; macad_gym.core.maps.nodeid_coord_map; macad_gym.core.sensors.camera_manager; macad_gym.core.sensors.derived_sensors; macad_gym.core.sensors.hud; macad_gym.core.sensors.utils; macad_gym.envs; macad_gym.multi_actor_env; macad_gym.viz.render; ray.rllib.env,TRAINING,11,25.58
https://github.com/praveen-palanisamy/macad-gym,88,375,3,2115,autonomous-driving; carla; carla-driving-simulator; carla-gym; carla-reinforcement-learning; carla-rl; carla-simulator; deep-reinforcement-learning; gym-environments; macad-gym; multi-agent-autonomous-driving; multi-agent-reinforcement-learning,gym; gym.spaces; macad_gym; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner_dao; macad_gym.carla.PythonAPI.agents.navigation.local_planner; macad_gym.carla.multi_env; macad_gym.carla.reward; macad_gym.carla.scenarios; macad_gym.core.controllers; macad_gym.core.controllers.keyboard_control; macad_gym.core.controllers.traffic; macad_gym.core.maps.nav_utils; macad_gym.core.maps.nodeid_coord_map; macad_gym.core.sensors.camera_manager; macad_gym.core.sensors.derived_sensors; macad_gym.core.sensors.hud; macad_gym.core.sensors.utils; macad_gym.envs; macad_gym.multi_actor_env; macad_gym.viz.render; ray.rllib.env,HYPERPARAMETER,11,25.58
https://github.com/praveen-palanisamy/macad-gym,88,375,3,2115,autonomous-driving; carla; carla-driving-simulator; carla-gym; carla-reinforcement-learning; carla-rl; carla-simulator; deep-reinforcement-learning; gym-environments; macad-gym; multi-agent-autonomous-driving; multi-agent-reinforcement-learning,gym; gym.spaces; macad_gym; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner_dao; macad_gym.carla.PythonAPI.agents.navigation.local_planner; macad_gym.carla.multi_env; macad_gym.carla.reward; macad_gym.carla.scenarios; macad_gym.core.controllers; macad_gym.core.controllers.keyboard_control; macad_gym.core.controllers.traffic; macad_gym.core.maps.nav_utils; macad_gym.core.maps.nodeid_coord_map; macad_gym.core.sensors.camera_manager; macad_gym.core.sensors.derived_sensors; macad_gym.core.sensors.hud; macad_gym.core.sensors.utils; macad_gym.envs; macad_gym.multi_actor_env; macad_gym.viz.render; ray.rllib.env,EVALUATION,11,25.58
https://github.com/praveen-palanisamy/macad-gym,88,375,3,2115,autonomous-driving; carla; carla-driving-simulator; carla-gym; carla-reinforcement-learning; carla-rl; carla-simulator; deep-reinforcement-learning; gym-environments; macad-gym; multi-agent-autonomous-driving; multi-agent-reinforcement-learning,gym; gym.spaces; macad_gym; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner; macad_gym.carla.PythonAPI.agents.navigation.global_route_planner_dao; macad_gym.carla.PythonAPI.agents.navigation.local_planner; macad_gym.carla.multi_env; macad_gym.carla.reward; macad_gym.carla.scenarios; macad_gym.core.controllers; macad_gym.core.controllers.keyboard_control; macad_gym.core.controllers.traffic; macad_gym.core.maps.nav_utils; macad_gym.core.maps.nodeid_coord_map; macad_gym.core.sensors.camera_manager; macad_gym.core.sensors.derived_sensors; macad_gym.core.sensors.hud; macad_gym.core.sensors.utils; macad_gym.envs; macad_gym.multi_actor_env; macad_gym.viz.render; ray.rllib.env,CODESTYLE,10,23.26
