Repository,Repository Age (months),Stars,Contributors,Size (KB),Topics,RL Libraries,Category,Count,Percentage
https://github.com/edbeeching/godot_rl_agents,55,1370,20,265731,godot; reinforcement-learning; simulation,gymnasium; ray.rllib.algorithms.algorithm; ray.rllib.env.vector_env; ray.rllib.env.wrappers.pettingzoo_env; ray.rllib.policy.policy; ray.rllib.utils.typing; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env.base_vec_env; stable_baselines3.common.vec_env.vec_monitor; torch; torch.distributions.categorical; torch.distributions.normal; torch.utils.tensorboard,EVALUATION,17,26.56
https://github.com/edbeeching/godot_rl_agents,55,1370,20,265731,godot; reinforcement-learning; simulation,gymnasium; ray.rllib.algorithms.algorithm; ray.rllib.env.vector_env; ray.rllib.env.wrappers.pettingzoo_env; ray.rllib.policy.policy; ray.rllib.utils.typing; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env.base_vec_env; stable_baselines3.common.vec_env.vec_monitor; torch; torch.distributions.categorical; torch.distributions.normal; torch.utils.tensorboard,CODESTYLE,16,25.0
https://github.com/edbeeching/godot_rl_agents,55,1370,20,265731,godot; reinforcement-learning; simulation,gymnasium; ray.rllib.algorithms.algorithm; ray.rllib.env.vector_env; ray.rllib.env.wrappers.pettingzoo_env; ray.rllib.policy.policy; ray.rllib.utils.typing; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env.base_vec_env; stable_baselines3.common.vec_env.vec_monitor; torch; torch.distributions.categorical; torch.distributions.normal; torch.utils.tensorboard,HYPERPARAMETER,15,23.44
https://github.com/edbeeching/godot_rl_agents,55,1370,20,265731,godot; reinforcement-learning; simulation,gymnasium; ray.rllib.algorithms.algorithm; ray.rllib.env.vector_env; ray.rllib.env.wrappers.pettingzoo_env; ray.rllib.policy.policy; ray.rllib.utils.typing; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env.base_vec_env; stable_baselines3.common.vec_env.vec_monitor; torch; torch.distributions.categorical; torch.distributions.normal; torch.utils.tensorboard,TRAINING,14,21.88
https://github.com/edbeeching/godot_rl_agents,55,1370,20,265731,godot; reinforcement-learning; simulation,gymnasium; ray.rllib.algorithms.algorithm; ray.rllib.env.vector_env; ray.rllib.env.wrappers.pettingzoo_env; ray.rllib.policy.policy; ray.rllib.utils.typing; stable_baselines3; stable_baselines3.common.callbacks; stable_baselines3.common.evaluation; stable_baselines3.common.vec_env.base_vec_env; stable_baselines3.common.vec_env.vec_monitor; torch; torch.distributions.categorical; torch.distributions.normal; torch.utils.tensorboard,AGENT,2,3.12
